Date : 2025-11-22 18:16:08
Directory : f:\coding\plexichat
Total : 562 files,  178644 codes, 21215 comments, 31522 blanks, all 231381 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\coding\plexichat\plugins\webhook_manager\plugin.json                                                  | JSON             |        140 |          0 |          1 |        141 |
| f:\coding\plexichat\plugins\workflow_automation\plugin.json                                              | JSON             |        165 |          0 |          0 |        165 |
| f:\coding\plexichat\pyrightconfig.json                                                                   | JSON             |          7 |          0 |          0 |          7 |
| f:\coding\plexichat\pytest.ini                                                                           | Ini              |         24 |          0 |          0 |         24 |
| f:\coding\plexichat\requirements.txt                                                                     | pip requirements |        135 |        189 |         41 |        365 |
| f:\coding\plexichat\ruff.json                                                                            | JSON             |     10,619 |          0 |          0 |     10,619 |
| f:\coding\plexichat\run.py                                                                               | Python           |         44 |         22 |         18 |         84 |
| f:\coding\plexichat\scripts\build_compiled.bat                                                           | Batch            |         76 |          8 |         14 |         98 |
| f:\coding\plexichat\scripts\qemu\setup.bat                                                               | Batch            |         11 |          7 |          5 |         23 |
| f:\coding\plexichat\scripts\qemu\setup.sh                                                                | Shell Script     |          8 |          9 |          6 |         23 |
| f:\coding\plexichat\scripts\qemu\vm_configs\arm_vm.json                                                  | JSON             |         12 |          0 |          0 |         12 |
| f:\coding\plexichat\scripts\qemu\vm_configs\x86_vm.json                                                  | JSON             |         10 |          0 |          0 |         10 |
| f:\coding\plexichat\src\plexichat\__init__.py                                                            | Python           |        167 |         61 |         62 |        290 |
| f:\coding\plexichat\src\plexichat\core\__init__.py                                                       | Python           |        246 |         49 |         71 |        366 |
| f:\coding\plexichat\src\plexichat\core\app_setup.py                                                      | Python           |         67 |          7 |         14 |         88 |
| f:\coding\plexichat\src\plexichat\core\auth\__init__.py                                                  | Python           |         28 |          6 |          6 |         40 |
| f:\coding\plexichat\src\plexichat\core\auth\exceptions_auth.py                                           | Python           |        122 |         16 |         35 |        173 |
| f:\coding\plexichat\src\plexichat\core\auth\fastapi_adapter.py                                           | Python           |        282 |        157 |         70 |        509 |
| f:\coding\plexichat\src\plexichat\core\auth\models\__init__.py                                           | Python           |          3 |          3 |          3 |          9 |
| f:\coding\plexichat\src\plexichat\core\auth\models\permission.py                                         | Python           |          7 |          4 |          5 |         16 |
| f:\coding\plexichat\src\plexichat\core\auth\models\role.py                                               | Python           |          6 |          4 |          5 |         15 |
| f:\coding\plexichat\src\plexichat\core\auth\permissions.py                                               | Python           |         31 |         33 |         19 |         83 |
| f:\coding\plexichat\src\plexichat\core\auth\repositories\__init__.py                                     | Python           |         12 |          4 |          3 |         19 |
| f:\coding\plexichat\src\plexichat\core\auth\repositories\interfaces.py                                   | Python           |        104 |         34 |         39 |        177 |
| f:\coding\plexichat\src\plexichat\core\auth\services\__init__.py                                         | Python           |         30 |          4 |          3 |         37 |
| f:\coding\plexichat\src\plexichat\core\auth\services\audit_service.py                                    | Python           |        158 |         23 |         48 |        229 |
| f:\coding\plexichat\src\plexichat\core\auth\services\authentication.py                                   | Python           |        649 |         72 |        121 |        842 |
